Nama,Masuk,Keluar,Duration,Coba
DeleteAllJSON,16:55:33,16:55:33,2.205,1
DeleteAllJSON,16:56:16,16:56:16,1.087,2
DeleteAllJSON,17:20:13,17:20:13,0.576,3
DeleteAllJSON,17:33:15,17:33:15,0.618,4
DeleteAllJSON,17:33:26,17:33:26,0.589,5
DeleteAllJSON,17:33:35,17:33:35,0.511,6
DeleteAllJSON,17:33:45,17:33:45,0.627,7
DeleteAllJSON,17:36:13,17:36:13,0.899,8
DeleteAllJSON,17:36:22,17:36:22,0.592,9
DeleteAllJSON,17:36:29,17:36:29,1.187,10
DeleteAllJSON,17:36:38,17:36:38,0.516,11
DeleteAllJSON,18:33:42,18:33:42,0.558,12
DeleteAllJSON,18:33:50,18:33:50,0.511,13
DeleteAllJSON,18:33:58,18:33:58,0.506,14
DeleteAllJSON,18:34:06,18:34:06,0.635,15
DeleteAllJSON,18:34:13,18:34:13,0.506,16
DeleteAllJSON,18:35:49,18:35:49,0.600,17
DeleteAllJSON,18:35:57,18:35:57,0.510,18
DeleteAllJSON,18:36:09,18:36:09,0.506,19
DeleteAllJSON,18:36:30,18:36:30,0.504,20
DeleteAllJSON,18:36:38,18:36:38,0.504,21
DeleteAllJSON,18:36:45,18:36:45,0.507,22
DeleteAllJSON,18:36:54,18:36:54,0.560,23
DeleteAllJSON,18:37:33,18:37:33,0.506,24
DeleteAllJSON,18:37:41,18:37:41,0.506,25
DeleteAllJSON,18:37:48,18:37:48,0.566,26
DeleteAllJSON,18:38:00,18:38:00,0.507,27
DeleteAllJSON,18:38:07,18:38:07,0.507,28
DeleteAllJSON,18:38:59,18:38:59,0.517,29
DeleteAllJSON,18:39:10,18:39:10,0.505,30
DeleteAllPostgreSQL,16:55:31,16:55:31,2.598,1
DeleteAllPostgreSQL,16:56:17,16:56:17,1.531,2
DeleteAllPostgreSQL,17:20:14,17:20:14,3.046,3
DeleteAllPostgreSQL,17:33:17,17:33:17,3.568,4
DeleteAllPostgreSQL,17:33:27,17:33:27,2.525,5
DeleteAllPostgreSQL,17:33:37,17:33:37,1.553,6
DeleteAllPostgreSQL,17:33:46,17:33:46,1.529,7
DeleteAllPostgreSQL,17:36:15,17:36:15,1.515,8
DeleteAllPostgreSQL,17:36:23,17:36:23,1.517,9
DeleteAllPostgreSQL,17:36:31,17:36:31,1.520,10
DeleteAllPostgreSQL,17:36:40,17:36:40,1.522,11
DeleteAllPostgreSQL,18:33:43,18:33:43,0.509,12
DeleteAllPostgreSQL,18:33:51,18:33:51,0.508,13
DeleteAllPostgreSQL,18:34:00,18:34:00,0.549,14
DeleteAllPostgreSQL,18:34:08,18:34:08,0.674,15
DeleteAllPostgreSQL,18:34:15,18:34:15,0.511,16
DeleteAllPostgreSQL,18:35:50,18:35:50,0.506,17
DeleteAllPostgreSQL,18:35:59,18:35:59,0.505,18
DeleteAllPostgreSQL,18:36:12,18:36:12,0.506,19
DeleteAllPostgreSQL,18:36:31,18:36:31,0.507,20
DeleteAllPostgreSQL,18:36:40,18:36:40,0.503,21
DeleteAllPostgreSQL,18:36:47,18:36:47,0.512,22
DeleteAllPostgreSQL,18:36:56,18:36:56,1.556,23
DeleteAllPostgreSQL,18:37:35,18:37:35,0.510,24
DeleteAllPostgreSQL,18:37:42,18:37:42,0.510,25
DeleteAllPostgreSQL,18:37:49,18:37:49,0.509,26
